"","ISO","EVENT_ID_CNTY","EVENT_ID_NO_CNTY","EVENT_DATE","YEAR","TIME_PRECISION","EVENT_TYPE","ACTOR1","ASSOC_ACTOR_1","INTER1","ACTOR2","ASSOC_ACTOR_2","INTER2","INTERACTION","REGION","COUNTRY","ADMIN1","ADMIN2","ADMIN3","LOCATION","LATITUDE","LONGITUDE","GEO_PRECISION","SOURCE","SOURCE_SCALE","NOTES","FATALITIES","TIMESTAMP","CONTINENT"
"1",356,"IND33168",33168,"12-July-2018",2018,1,"Riots/Protests","Protesters (India)","INC: Indian National Congress",6,NA,NA,0,60,"Southern Asia","India","Uttarakhand","Haridwar",NA,"Roorkee",29.866,77.891,1,"The Tribune","Subnational","On July 12, a large number of Congress workers staged a Janakrosh rally in Roorkee city (Haridwar, Uttarakhand) against the BJP government for being anti-farmer.",0,1542756334,"Asia"
"2",275,"PSE4055",4055,"09-November-2018",2018,1,"Riots/Protests","Military forces of Israel (2009-)",NA,8,"Rioters (Palestine)",NA,5,58,"Middle East","Palestine","Gaza Strip",NA,NA,"Al Burayj",31.439,34.403,2,"Jordan News Agency (Petra); Twitter","Other-Regional","On Nov 9, thousands of demonstrators gathered at points along the border between Gaza and Israel. Dozens of them were injured by live fire, rubber bullets and/or tear gas. Rioting was reported at multiple locations.",0,1542066110,"Middle East"
"3",760,"SYR30333",30333,"22-March-2018",2018,1,"Remote violence","Military Forces of Syria (2000-)",NA,1,"Civilians (Syria)",NA,7,17,"Middle East","Syria","Aleppo",NA,NA,"Jazraya",35.861,36.987,1,"LiveUMap; WhiteHelmets; Undisclosed Source: Undisclosed Source; LiveUMap_https://syria.liveuamap.com/en/2018/22-march-wounded-civilians-after-saa-artillery-hit-the-town; LiveUMap_https://twitter.com/ShahbaPress/status/976842038669914115; WhiteHelmets_https://m.facebook.com/story.php?story_fbid=1663296120416706&id=646749932071335","Other-Local","Syrian Army forces fired artillery on Jazraya town in southern Aleppo causing two civilian injuries. No fatalities reported.",0,1543860566,"Middle East"
"4",356,"IND27127",27127,"14-February-2018",2018,1,"Riots/Protests","Protesters (India)",NA,6,NA,NA,0,60,"Southern Asia","India","Kerala","Ernakulam",NA,"Kochi",9.94,76.26,1,"The Hindu","National","On February 14, in Kochi, LDF councilors of the Kochi Corporation staged a dharna against what they termed the lethargic approach of the civic administrators to annual plan projects.",0,1542756329,"Asia"
"5",586,"PAK44700",44700,"09-October-2018",2018,1,"Remote violence","Unidentified Armed Group (Pakistan)",NA,3,"Police Forces of Pakistan (2018-) Frontier Corps",NA,1,13,"Southern Asia","Pakistan","Balochistan","Killa Abdullah",NA,"Qilla Abdullah",30.728,66.661,2,"Pakistan Today","National","On Oct 9, an unclaimed bomb blast targeted a Frontier Corps vehicle in Killa Abdullah district (Balochistan). 5 soldiers were injured.",0,1539703907,"Asia"
"6",275,"PSE3950",3950,"21-October-2018",2018,1,"Strategic development","Military Forces of Israel (2009-)",NA,8,NA,NA,0,80,"Middle East","Palestine","West Bank",NA,NA,"Khirbat an Nahlah",31.678,35.183,1,"Palestine News & Information Agency (WAFA)","National","Property destruction: On Oct 21, Israeli forces razed Palestinian lands in Khirbat an Nahlah southeast of Bethlehem in order to create a bypass road and construct housing units and agricultural structures for Israeli settlers.",0,1540850084,"Middle East"
"7",887,"YEM23292",23292,"08-September-2018",2018,1,"Remote violence","Military Forces of Yemen (2016-) Supreme Political Council",NA,1,"National Resistance Forces",NA,3,13,"Middle East","Yemen","Al Hudaydah",NA,NA,"Al Fazzah",14.103,43.102,1,"Yemen News Agency","National","Pro-Houthi forces claimed to have destroyed a military vehicle of anti-Houthi forces, and to have subsequently killed its crew, with a method that is left unclear by the source in Al Fazzah coastal area of Tuhayta district, south of Hudaydah in western Yemen. Unknown reported fatalities coded as 10.",10,1545323757,"Middle East"
"8",368,"IRQ14763",14763,"27-August-2018",2018,1,"Battle-no change 
of territory","Islamic State (Iraq)",NA,2,"Military Forces of Iraq (2014-) Popular Mobilization Forces",NA,1,12,"Middle East","Iraq","Anbar",NA,NA,"Fallujah",33.349,43.786,2,"Amaq (Telegram messaging application in Arabic)","Other","On Aug 27, a member of the PMF intelligence service was targeted by IS militant gunfire in al Sabaa area, north of Fallujah, killing him.",1,1546900294,"Middle East"
"9",356,"IND31713",31713,"04-June-2018",2018,1,"Strategic development","Police Forces of India (2014-) Bomb Disposal Squad",NA,1,NA,NA,0,10,"Southern Asia","India","Jammu and Kashmir","Baramulla",NA,"Nathipur",34.365,74.39,2,"Kashmir Observer","Subnational","Defusal: BDS forces defused a roadside IED in the Nathipur-Wadoora area of Sopore tehsil, Baramulla District on June 4. JeM claimed the IED and reported that it had damaged a vehicle and injured several security forces.",0,1542756333,"Asia"
"10",760,"SYR34336",34336,"21-June-2018",2018,1,"Remote violence","Military Forces of Syria (2000-)",NA,1,NA,NA,0,10,"Middle East","Syria","Dar'a",NA,NA,"Kafr Nassij",33.15,36.039,1,"SOHR: SOHR_http://www.syriahr.com/en/?p=95870; SOHR_http://www.syriahr.com/en/?p=95900","Other-Local","Military Forces of Syria shelled Kafr Nassij in northern Dar'a countryside using artillery and rocket fire. No fatalities were reported.",0,1543860564,"Middle East"
"11",4,"AFG13590",13590,"28-August-2018",2018,2,"Battle-no change 
of territory","Military Forces of Afghanistan (2004-)",NA,1,"Taliban and/or Islamic State (Afghanistan)",NA,2,12,"Southern Asia","Afghanistan","Kandahar","Kandahar",NA,"Kandahar",31.613,65.71,3,"Bakhtar News Agency; Afghan Ministry of Defense","National","On 28-August-2018, it was reported that 24 Taliban and/or Islamic State militants were killed and dozens others wounded in operations conducted by Afghan Military Forces in Nangarhar, Ghazni, Paktia, Paktika, Logar, Khost, Kandahar, Urozgan, Badghis, Herat, Kunduz, Baghlan and Helmand provinces. Fatalities split across 13 events.",2,1536022732,"Asia"
"12",887,"YEM26865",26865,"29-December-2018",2018,1,"Battle-Government 
regains territory","Military Forces of Yemen (2012-)","Militia (Pro-Government); Operation Restoring Hope",1,"Military Forces of Yemen (2016-) Supreme Political Council",NA,1,11,"Middle East","Yemen","Hajjah",NA,NA,"Hammad Tarash",16.355,43.084,1,"Twitter; Al Arabiya","Other-Regional","Pro-Hadi forces and affiliates, supported by Saudi-led coalition air cover, reportedly took control of the areas of Kirs Al-Wahab, Al-Hasnin, Dayirah, Hammad Tarash and Sha'ab Al-Baz north of 'Ahim Junction in Harad district, northwestern Yemen, with no report of casualties.",0,1546900295,"Middle East"
"13",760,"SYR33204",33204,"23-May-2018",2018,1,"Remote violence","Military Forces of Syria (2000-)",NA,1,NA,NA,0,10,"Middle East","Syria","Hama",NA,NA,"Al Ghab Plain",35.56,36.344,2,"SOHR: SOHR_http://www.syriahr.com/en/?p=93031","Other-Local","Regime forces shelled the north-western outskirts of Sahl Al Ghab in Hama's As-Suqaylabiyah district. Neither injuries nor fatalities were reported.",0,1546889461,"Middle East"
"14",356,"IND27354",27354,"22-February-2018",2018,1,"Riots/Protests","Protesters (India)","Farmers (India)",6,"Police Forces of India (2014-)",NA,1,16,"Southern Asia","India","Rajasthan","Nagaur",NA,"Nagaur",27.199,73.741,2,"Hindustan Times","National","On February 22, in Nagaur district (Rajasthan), farmers were detained by police when they tried to march to the assembly in Jaipur demanding farm loan waiver and alleged failure of the Bjp-led government in the state to honor an earlier agreement.",0,1542756329,"Asia"
"15",364,"IRN408",408,"25-January-2018",2018,1,"Riots/Protests","Protesters (Iran)","Teachers (Iran)",6,NA,NA,0,60,"Middle East","Iran","Zanjan",NA,NA,"Zanjan",36.676,48.496,1,"RadioZamaneh","National","A group of teachers in Zanjan gathered in front of the governorate to protest the delays in delivery of their houses.",0,1542756344,"Middle East"
"16",404,"KEN6063",6063,"11-February-2018",2018,1,"Riots/Protests","Protesters (Kenya)",NA,6,NA,NA,0,60,"Eastern Africa","Kenya","Lamu","Lamu West",NA,"Witu",-2.389,40.438,1,"Sunday Nation (Kenya)","National","Residents of Witu protest on 09/02 and 11/02 against the government appointment of an area chief.",0,1546559410,"Africa"
"17",356,"IND26200",26200,"21-January-2018",2018,1,"Riots/Protests","Protesters (India)","Hindu Group (India)",6,NA,NA,0,60,"Southern Asia","India","Tamil Nadu","Coimbatore",NA,"Coimbatore",11.006,76.966,1,"The Hindu","National","On January 21, in Coimbatore, protesting against lyricist Vairamuthu's comments on Tamil saint Andal, a number of Hindu organizations staged a protest outside the Coimbatore South Taluk office.",0,1542756328,"Asia"
"18",4,"AFG14467",14467,"10-October-2018",2018,1,"Battle-no change 
of territory","Taliban",NA,2,"Police Forces of Afghanistan (2004-)",NA,1,12,"Southern Asia","Afghanistan","Kunduz","Qalay i Zal",NA,"Qalay i Zal",37.014,68.448,2,"Pajhwok Afghan News English","National","Taliban militants stormed security checkposts in Qalay I Zal district, Kunduz province on the night of Oct 10. 4-15 policemen and 7 militants were killed; 3-13 policemen and 9 militants were wounded. The Taliban claimed killing 25 policemen and wounding 7 while only 1 of their own died.",11,1539654723,"Asia"
"19",356,"IND38958",38958,"24-October-2018",2018,1,"Riots/Protests","Rioters (India)",NA,5,NA,NA,0,50,"Southern Asia","India","Odisha","Puri",NA,"Puri",19.812,85.832,1,"Odisha Sun Times (India)","Subnational","On October 24, locals staged a road blockade at Balighat Chhak in Puri city (Puri district, Odisha) by burning tyres, to demand compensation for the family of a boy who died after he fell and drowned inside a drain.",0,1540909983,"Asia"
"20",356,"IND40884",40884,"30-November-2018",2018,1,"Riots/Protests","Protesters (India)",NA,6,NA,NA,0,60,"Southern Asia","India","Maharashtra","Mumbai City",NA,"Mumbai-Azad Maidan",18.939,72.832,1,"Times of India","National","On November 30, in Azad-Maiden area of Mumbai (Mumbai-City, Maha), parents' groups staged a protest against recent amendments in the school fee regulation act.",0,1543936755,"Asia"
